"","Hutan.lahan.kering.primer","Hutan.lahan.kering.sekunder...bekas.tebangan","Hutan.rawa.primer","Hutan.rawa.sekunder","Hutan.mangrove.primer","Hutan.mangrove.sekunder","Hutan.tanaman","Perkebunan","Semak.belukar","Semak.belukar.rawa","Savanna...Padang.rumput","Pertanian.lahan.kering","Pertanian.lahan.kering..campur.semak...kebun.campur","Sawah","Tambak","Pemukiman","Transmigrasi","Lahan.terbuka","Pertambangan","Tubuh.air","Rawa","Awan","Bandara"
"1",11056.8061756773,0,0,0,0,0,0,0,0,0,0,0,353.627677192282,0,0,0,0,0,0,0,0,0,0
"2",0,106525.428974588,0,0,0,0,0,0,0,0,0,18207.9104619164,12632.7520620728,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,952.063130852257,0,0,0,0,0,0,0,0,0,43.7774378936192,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,347383.016447788,0,0,0,0,34137.7394271254,28594.4209252102,34245.0576481708,0,175.457201480102,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,137740.793302083,0,0,0,14965.647572308,11068.758640992,16354.3925540637,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,648.47293400431,2218.17043201815,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,51673.7264285869,0,0,0,0,756032.105175978,42716.6220520835,48341.9743112947,8887.69878045126,14955.4901419449,0,0,0,1602.24404190123,0,0,0
"13",0,26631.3572436469,0,0,0,0,5411.57021541044,2051.74094451534,0,0,0,47269.1624093474,636248.378187561,46283.7296683521,0,15045.4584693094,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,20578.4226120449,25724.0384878659,554.542608005308,0,0,52387.0176070485,47399.4642751636,722384.25715859,3714.08708408481,18820.5653137862,0,1735.02586298787,351.83148066709,3269.10592367029,0,0,77.3587501828733
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,16194.3953828443,50407.1434581439,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,7097.51090648568,0,0,0,0,21569.1097217975,16296.4489141761,19176.5147249202,0,196162.994257656,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,2084.52394941939,0,0,0,0,0,0,0,0,0,0,6940.10345195068,0,0,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,338.824094061159,0,0,0,0,0,0,1407.32592266845,0,0,0,0
"20",0,0,0,0,0,0,0,6010.94595913438,0,0,0,0,0,0,0,0,0,0,0,19485.3998622868,0,0,0
"21",0,0,0,0,0,0.636718991541784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8044344246591,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,132.615000391307,0,0,0,0,0,0,0,0,0,0,309.43500073121
