"","year","emission"
"1","y2015","-5519169.0626"
"2","y2016","-13673945.4969261"
"3","y2017","-21727394.0828691"
"4","y2018","-29729493.1388421"
"5","y2019","-37690458.9784949"
"6","y2020","-45541771.7207344"
"7","y2021","-53248779.3401338"
"8","y2022","-60881638.3294929"
"9","y2023","-67935903.5206102"
"10","y2024","-74069559.2840813"
"11","y2025","-79225307.9963726"
"12","y2026","-83338902.4460818"
"13","y2027","-86340855.2409499"
"14","y2028","-88155943.4880365"
"15","y2029","-88702054.1934873"
"16","y2030","-87888763.7351932"
